,Date,Base_Close,Comp_Close,Spread,Base_Instrument,Comp_Instrument
1613,2012-09-14,88.43,89.68,-1.25,/CLN16,/CLF16
1614,2012-09-17,87.92,89.01,-1.0900000000000034,/CLN16,/CLF16
1615,2012-09-18,87.91,88.84,-0.9300000000000068,/CLN16,/CLF16
1616,2012-09-19,86.34,86.92,-0.5799999999999983,/CLN16,/CLF16
1617,2012-09-20,87.17,87.64,-0.46999999999999886,/CLN16,/CLF16
1618,2012-09-21,87.5,88.07000000000001,-0.5700000000000074,/CLN16,/CLF16
1619,2012-09-24,87.36,87.91,-0.5499999999999972,/CLN16,/CLF16
1620,2012-09-25,86.97,87.56,-0.5900000000000034,/CLN16,/CLF16
1621,2012-09-26,86.32000000000001,86.87,-0.5499999999999972,/CLN16,/CLF16
1622,2012-09-27,86.93,87.7,-0.769999999999996,/CLN16,/CLF16
1623,2012-09-28,87.65,88.37,-0.7199999999999989,/CLN16,/CLF16
1624,2012-10-01,88.27,88.96000000000001,-0.6900000000000119,/CLN16,/CLF16
1625,2012-10-02,88.23,88.89,-0.6599999999999966,/CLN16,/CLF16
1626,2012-10-03,85.87,86.31,-0.4399999999999977,/CLN16,/CLF16
1627,2012-10-04,87.71000000000001,88.3,-0.5899999999999892,/CLN16,/CLF16
1628,2012-10-05,87.47,87.97,-0.5,/CLN16,/CLF16
1629,2012-10-08,86.88,87.37,-0.4900000000000091,/CLN16,/CLF16
1630,2012-10-09,87.71000000000001,88.47,-0.7599999999999909,/CLN16,/CLF16
1631,2012-10-10,87.12,87.89,-0.769999999999996,/CLN16,/CLF16
1632,2012-10-11,87.37,88.3,-0.9299999999999926,/CLN16,/CLF16
1633,2012-10-12,87.46000000000001,88.35000000000001,-0.8900000000000006,/CLN16,/CLF16
1634,2012-10-15,88.03,88.93,-0.9000000000000057,/CLN16,/CLF16
1635,2012-10-16,87.49,88.45,-0.960000000000008,/CLN16,/CLF16
